1785800092596-verify-the-premise-is-symmetric-it-applies-when-th.md|12072,
1785800138090-slangpy-deferred-on-upstream-work-gates-on-the-sgl.md|12299,
1785800192069-when-prose-and-a-test-disagree-the-test-is-the-art.md|12148,
1785801131585-find-the-emitter-before-naming-the-defect-a-relaye.md|12148,
1785803201334-a-gh-401-is-path-classed-not-global-rest-can-work-.md|11004,
1785803367777-a-fix-issue-n-branch-on-a-fork-is-not-ours-resolve.md|11002,11234,11242,
1785816873789-ci-sweeps-a-stale-workflow-dispatch-run-makes-a-gr.md|12186,12208,
1785817144115-correction-resolving-the-workflow-dispatch-phantom.md|12186,
1785817670285-phantom-red-variant-2-same-event-duplicate-check-s.md|11087,11373,11964,
1785823939594-a-phantom-red-ci-suite-can-carry-the-freshest-fail.md|11081,11223,11234,12186,
1785824275373-ci-suite-currency-four-timestamp-fields-invert-onl.md|12186,
1785824518254-slang-test-filecheck-tests-need-the-slang-llvm-lib.md|11617,
1785824876739-two-dispatches-to-one-child-check-for-starvation-b.md|11917,11920,12281,
1785825109539-a-dispatched-handoff-can-silently-die-verify-artif.md|11917,12281,
1785825256615-i-can-t-check-x-is-not-x-is-uncheckable-delegate-a.md|11917,12281,
1785826139100-a-wrong-mechanism-riding-a-right-conclusion-draws-.md|11917,
1785826374214-a-common-mode-defect-is-invisible-to-per-item-revi.md|12150,
1785826510128-a-consequence-of-a-claim-is-not-evidence-for-it-re.md|11917,
1785826645329-pass-gating-safety-a-conservative-implication-can-.md|11917,11920,11961,11987,12088,12336,
1785826705506-correction-to-a-consequence-of-a-claim-is-not-evid.md|11917,
1785827571091-a-partial-fix-needs-a-visibly-disabled-test-a-real.md|12150,
1785827639255-a-wrong-instant-measurement-is-more-dangerous-than.md|11917,
1785827665319-a-wrong-instant-measurement-is-more-dangerous-than.md|11917,12336,
1785827764500-control-the-instrument-not-the-reasoning-10-measur.md|11616,
1785827882400-reviewing-a-pass-gating-pr-green-tests-plus-byte-i.md|12050,12336,
1785828146545-read-the-diff-for-intent-claims-current-state-plus.md|11616,11617,
1785828391431-gating-prs-need-two-sided-flag-fired-controls-slan.md|11917,
1785828537069-a-severity-claim-needs-a-repro-that-can-distinguis.md|12150,
1785828631090-a-must-fix-or-safety-critical-label-is-a-claim-owi.md|11917,
1785828782431-approver-clause-gap-test-plan-adequacy-has-no-dete.md|11917,
1785828813360-correction-generic-arg-fence-dates-to-the-2017-ini.md|11349,
1785829146636-coverage-scripts-export-slang-record-directory-but.md|11086,12214,
1785829322355-a-negative-control-must-differ-by-exactly-one-vari.md|12148,12150,
1785829409706-approver-clause-gap-a-gate-pr-probe-belongs-in-ste.md|11917,12050,12088,
1785830224201-a-retraction-sweep-must-grep-the-claim-s-vocabular.md|11917,
1785830249844-a-plausible-mechanism-substituting-for-an-observed.md|11917,12336,
1785830669101-i-fabricated-a-supporting-number-and-misrouted-a-m.md|12150,12336,
1785831422368-an-action-a-peer-attributes-to-you-is-not-an-actio.md|11917,
1785831626664-a-superseded-bot-pr-closed-unmerged-is-often-a-win.md|12070,12072,12116,12263,12299,
1785831640500-resolve-a-chat-reported-bug-against-github-before-.md|12265,12267,
1785831962573-a-0-of-n-test-result-with-clean-compiles-means-the.md|12322,
1785832052077-a-negative-control-can-refute-your-explanation-not.md|12148,12150,
1785832195671-a-pre-registered-differential-against-the-real-com.md|12150,
1785832220197-a-read-of-a-live-artifact-is-a-measurement-with-a-.md|11617,
1785832622625-a-silent-hold-marker-is-a-delivered-message-only-t.md|11616,
1785832791056-three-dead-guards-in-one-day-all-failing-toward-cl.md|12150,
1785833136773-dead-guards-fail-toward-clean-match-the-pattern-to.md|12336,
1785833275733-the-clarity-lens-can-find-the-highest-severity-bug.md|11917,12336,
1785833361770-five-instances-of-one-coincidence-trap-in-a-day-an.md|12150,
1785835891561-approver-calibration-classify-a-gate-pr-by-its-fai.md|12322,
1785835918863-approver-calibration-a-bot-finding-that-a-named-hu.md|12322,
1785835946540-approver-clause-gap-untested-splits-by-direction-a.md|12322,
1785835977515-slang-llvm-backend-plugin-absent-and-target-genuin.md|12322,
1785836205956-approver-critique-mustfix-correction-to-my-own-123.md|12322,
1785836257411-reading-a-partial-multi-lens-review-check-domain-s.md|11917,12336,
1785836586307-structural-vs-empirical-support-for-a-safety-claim.md|11917,12336,
1785836917776-approver-critique-mustfix-narrowing-two-of-my-own-.md|12322,
1785837002567-approver-infra-abstain-devin-fetch-sh-flags-sectio.md|12246,
1785837275081-approver-challenger-miss-a-narrowing-predicate-s-b.md|12246,
1785837630095-a-discriminator-is-a-claim-about-a-log-run-it-agai.md|12246,
1785837632487-slang-test-prints-100-of-tests-passed-after-discar.md|11917,12336,
1785837956189-approver-challenger-miss-no-case-labels-semantic-n.md|12238,12246,
1785838110268-permissions-push-false-and-gh-api-user-403-do-not-.md|12337,
1785838259620-shallow-clone-mode-4-ancestry-predicates-false-neg.md|12322,
1785838439742-runner-scoped-ci-defect-a-rerun-is-a-pool-lottery-.md|12322,
1785838727264-before-nudging-a-stalled-pr-compute-the-repo-base-.md|12179,
1785838985522-correction-gh-api-paginate-401s-on-page-2-under-th.md|12320,
1785839025292-approver-critique-mustfix-citation-uniformity-in-a.md|12237,12246,
1785839198875-a-dedup-scope-drawn-for-claim-a-does-not-cover-a-h.md|12337,
1785839403586-a-budget-cap-on-a-fan-out-reviewer-pipeline-is-str.md|12336,
1785839459802-approver-clause-gap-a-control-that-varies-the-inte.md|12322,
1785839495372-a-capability-probe-is-a-measurement-with-a-timesta.md|12313,12316,12317,12320,
1785839519730-a-commit-whose-subject-says-document-can-carry-liv.md|11917,12336,
1785839586778-nothing-owed-is-when-to-run-the-last-check-a-peer-.md|12113,
1785839697908-a-capability-claim-written-as-a-property-of-the-to.md|12313,12316,12317,12320,
1785840123164-a-fidelity-gate-firing-on-a-corrupted-reference-pr.md|11917,12336,
1785840768185-correction-recommend-a-test-shape-against-the-buil.md|12212,12217,
1785840792663-check-the-build-graph-before-recommending-a-test-s.md|12212,
1785840805944-check-the-build-graph-not-just-the-call-graph-befo.md|12212,12217,
1785840915441-a-live-artifact-read-is-a-measurement-with-a-times.md|11616,
1785840965047-widening-a-require-target-set-is-only-half-the-fix.md|12165,12172,12274,
1785841360069-approver-procedure-a-stale-webhook-dispatch-on-an-.md|12142,
1785841389780-approver-infra-abstain-github-job-logs-410-after-5.md|12142,
1785842164075-before-trusting-a-clean-test-result-verify-you-own.md|12150,
1785843418724-approver-critique-mustfix-correction-to-my-two-202.md|12142,
1785844025178-approver-calibration-a-relocation-is-not-a-gate-an.md|12223,12324,
1785844054713-approver-challenger-miss-a-true-mechanism-in-a-fal.md|12324,
1785844085143-approver-infra-abstain-devin-flags-md-renders-an-e.md|12246,12324,
1785844326149-approver-critique-mustfix-second-correction-my-rep.md|12142,
1785845890438-approver-human-disagreement-abstain-open-gap-on-a-.md|12238,12246,
1785846097857-approver-critique-mustfix-five-of-eight-must-fixes.md|12324,
1785846271995-approver-challenger-miss-the-repo-s-own-test-comme.md|12246,
1785846273893-a-refutation-is-a-measurement-with-a-timestamp-che.md|12223,12233,12324,
1785846721927-worktree-gc-never-derive-a-branch-name-from-the-wo.md|11657,11920,12081,12281,12304,12336,
1785846721964-comments-0-only-proxies-no-github-artifact-for-iss.md|12113,12337,
1785846763486-approver-clause-gap-an-inherited-finding-has-three.md|12324,
1785846902959-supervisor-nudge-predicates-staleness-is-the-last-.md|11135,12080,12179,12306,12315,
1785847003270-approver-critique-mustfix-i-reported-a-cross-refer.md|12324,
1785847094771-pulls-n-files-is-cumulative-commits-sha-is-what-th.md|11265,11586,11617,
1785847099622-gh-run-list-workflow-does-not-constrain-results-ch.md|11135,12306,
1785847129555-approver-infra-abstain-a-substring-filter-over-a-c.md|12080,
1785847130778-approver-infra-abstain-the-empty-flags-symptom-has.md|12246,
1785847142026-local-git-ancestry-gives-confident-false-negatives.md|12238,
1785847146872-git-cat-file-e-sha-path-in-a-shallow-clone-reports.md|12322,
1785847159257-before-reporting-a-write-landed-ask-if-your-tier-c.md|12324,
1785847203466-gh-sub-collection-reads-truncate-at-30-by-default-.md|12179,
1785847388050-a-control-must-be-independent-of-the-failure-mode-.md|11135,12080,
1785847528336-write-authority-handoff-a-peer-s-evidence-is-not-y.md|12322,
1785847532091-verifying-a-cross-reference-cluster-assert-1-not-1.md|12324,
1785847630482-approver-infra-abstain-correction-to-my-own-empty-.md|12246,12322,12324,
1785847846364-approver-critique-mustfix-i-claimed-no-record-anyw.md|12142,12322,
1785848201040-approver-infra-abstain-a-duplicated-script-where-o.md|12133,12246,12324,
